instrument,filename,grb_name,grb_time_utc,ra,dec,lag_ms,lag_error,lag_significance,lag_type,lag_class,t90_s,duration_class,lag_observed_ms,lag_model_ms,torus_radius_units,n_diffusive_windings,transport_product_ms
Swift/BAT,sw00325895000bevshsp_uf.evt.gz,,2008-09-25T13:55:04,299.5914,35.20061,19902.0388741612,22.633046118983543,879.3354093626971,positive,significant_positive,,unknown,19902.0388741612,19902.0388741612,9.130469072909912,1.4531592857012876,19902.0388741612
Swift/BAT,sw00330083000bevshsp_uf.evt.gz,,2008-10-02T01:20:24,266.463945081986,-32.2565297314636,-9226.099162138473,23.52374050003793,392.2037467690818,negative,significant_negative,,unknown,9226.099162138473,9226.099162138473,6.216606292725442,0.9894036207434361,9226.099162138473
Swift/BAT,sw00340919000bevshsp_uf.evt.gz,,2009-01-23T14:05:44,170.2408,-61.91682,44289.34076020638,35.51907844417307,1246.9169443632366,positive,significant_positive,,unknown,44289.34076020638,44289.34076020638,13.620527036528328,2.167774205380288,44289.34076020638
Swift/BAT,sw00340973000bevshsp_uf.evt.gz,,2009-01-24T01:06:24,170.2311,-61.9204,24005.55635884573,29.380335174342704,817.0620320155276,positive,significant_positive,,unknown,24005.55635884573,24005.556358845737,10.027673675204069,1.5959538331212006,24005.55635884573
Swift/BAT,sw00341001000bevshsp_uf.evt.gz,,2009-01-24T10:49:44,170.244020331404,-61.8794774044985,-37178.63459837387,93.36063102165186,398.226042299902,negative,significant_negative,,unknown,37178.63459837387,37178.63459837387,12.479322915647343,1.9861459284652383,37178.63459837387
Swift/BAT,sw00341076000bevshsp_uf.evt.gz,,2009-01-25T11:59:20,170.2375,-61.91708,12471.153193016704,22.03583695407526,565.9486961628801,positive,significant_positive,,unknown,12471.153193016704,12471.153193016702,7.2276582886367065,1.1503175436156408,12471.153193016704
Swift/BAT,sw00345368000bevshsp_uf.evt.gz,,2009-03-06T11:31:10.272,272.143309592095,58.3426900000616,-197189.8342906644,95.71198512283831,2060.241818593437,negative,significant_negative,,unknown,197189.8342906644,197189.83429066444,28.73998688865718,4.574110977726052,197189.8342906644
Swift/BAT,sw00345377000bevshsp_uf.evt.gz,,2009-03-06T12:14:51.52,322.395897894395,-47.6152735018818,1089.8215108586496,21.620215226148503,50.40752367444374,positive,significant_positive,,unknown,1089.8215108586496,1089.8215108586494,2.1365939412181754,0.3400494871250671,1089.8215108586496
Swift/BAT,sw00345551000bevshsp_uf.evt.gz,GRB090307A,2009-03-07T03:46:37.877980,244.9936667,-28.6337778,-17475.315470095466,24.31689394370309,718.6491626172814,negative,significant_negative,22.0,long,17475.315470095466,17475.315470095466,8.555724999477716,1.3616859254017821,17475.315470095466
Swift/BAT,sw00345777000bevshsp_uf.evt.gz,GRB090308A,2009-03-08T18:01:23.441660,183.5015833,-48.8167778,-11645.36447085673,22.834106959939607,509.9986827287565,negative,significant_negative,25.096,long,11645.36447085673,11645.364470856728,6.984267221884635,1.111580652237639,11645.36447085673
Swift/BAT,sw00345945000bevshsp_uf.evt.gz,GRB090309A,2009-03-09T23:29:13.262340,284.973,-25.2609722,307.9885262156712,35.15953096513667,8.759745018244557,positive,significant_positive,3.0,long,307.9885262156712,307.9885262156712,1.1358253923023556,0.1807722256742111,307.9885262156712
Swift/BAT,sw00346180000bevshsp_uf.evt.gz,,2009-03-11T18:08:05.439999,186.010124432556,-53.6461949431819,128826.20883875153,26.308710060139337,4896.71323847754,positive,significant_positive,,unknown,128826.20883875153,128826.20883875153,23.22985066037938,3.6971455598859078,128826.20883875153
Swift/BAT,sw00347398000bevshsp_uf.evt.gz,,2009-03-23T23:57:28.703999,186.092886778897,31.3423442002062,-17534.14963694378,100.00220180206227,175.33763578175723,negative,significant_negative,,unknown,17534.14963694378,17534.149636943785,8.570115182918428,1.3639761942283708,17534.14963694378
Swift/BAT,sw00348650000bevshsp_uf.evt.gz,GRB090407,2009-04-07T10:28:25.633160,68.9806667,-12.6791944,375.38586311289913,35.445888238571385,10.59039233510907,positive,significant_positive,315.472,long,375.38586311289913,375.3858631128991,1.2539587817877416,0.19957373855501043,375.38586311289913
Swift/BAT,sw00349121000bevshsp_uf.evt.gz,,2009-04-13T06:18:55.36,50.4106186132921,-35.975897766024,6074.429631018371,57.23607588869998,106.1293866971344,positive,significant_positive,,unknown,6074.429631018371,6074.429631018373,5.044255280819357,0.8028181621597973,6074.429631018371
Swift/BAT,sw00349271000bevshsp_uf.evt.gz,,2009-04-14T20:05:36.96,261.050608210261,-41.4701730252255,-172355.6329372146,25.76379987246826,6689.837438203262,negative,significant_negative,,unknown,172355.6329372146,172355.63293721454,26.869342883426885,4.276388737528429,172355.6329372146
Swift/BAT,sw00349441000bevshsp_uf.evt.gz,,2009-04-17T10:50:43.136,240.258829828141,-46.8833363262028,-216834.1726102974,43.85276543879417,4944.595179816776,negative,significant_negative,,unknown,216834.1726102974,216834.17261029736,30.137565566796784,4.796542532711807,216834.1726102974
Swift/BAT,sw00349450000bevshsp_uf.evt.gz,GRB090417B,2009-04-17T15:20:03.333200,209.6932,47.01702,15998.623927455666,18.40923130220204,869.0544251862368,positive,significant_positive,266.94,long,15998.623927455666,15998.62392745567,8.186261613055589,1.3028840011612295,15998.623927455666
Swift/BAT,sw00349719000bevshsp_uf.evt.gz,,2009-04-21T07:42:27.199999,328.590859553953,-83.9240781015934,31609.62722835469,25.590643017690425,1235.2025389320395,positive,significant_positive,,unknown,31609.62722835469,31609.627228354686,11.506784820751681,1.8313616833174189,31609.62722835469
Swift/BAT,sw00350853000bevshsp_uf.evt.gz,GRB090429A,2009-04-29T04:53:39.877600,90.5547917,-52.3855,324.9399615054546,44.29178599978151,7.336348132519594,positive,significant_positive,184.0,long,324.9399615054546,324.9399615054547,1.1666641881440072,0.18568037247141175,324.9399615054546
Swift/BAT,sw00350922000bevshsp_uf.evt.gz,,2009-04-30T05:06:07.872,149.435502604913,47.54872720162,522.8443262232541,33.11117899979839,15.790568080539735,positive,significant_positive,,unknown,522.8443262232541,522.8443262232543,1.4798936422297744,0.23553238841113747,522.8443262232541
Swift/BAT,sw00351012000bevshsp_uf.evt.gz,,2009-05-01T15:09:01.951999,249.672665335558,27.8257316001368,46709.87719328119,24.571550302852984,1900.973956366837,positive,significant_positive,,unknown,46709.87719328119,46709.87719328117,13.987775950950581,2.226223685455722,46709.87719328119
Swift/BAT,sw00351323000bevshsp_uf.evt.gz,,2009-05-06T14:02:16,274.6566,-17.04681,8010.249902305853,22.77136894375786,351.7684826981665,positive,significant_positive,,unknown,8010.249902305853,8010.249902305854,5.792517270467988,0.9219077565401536,8010.249902305853
Swift/BAT,sw00351525000bevshsp_uf.evt.gz,GRB090509,2009-05-09T05:10:03.594140,241.403522652029,-28.4037305477642,-26240.718506766483,55.25467905900236,474.9049121929741,negative,significant_negative,336.376,long,26240.718506766483,26240.71850676648,10.48412441015941,1.6686002238672717,26240.718506766483
Swift/BAT,sw00351744000bevshsp_uf.evt.gz,,2009-05-12T06:11:46.56,168.273567523314,-81.3274923145126,-19579.26619252715,20.515472893903937,954.3658239701132,negative,significant_negative,,unknown,19579.26619252715,19579.266192527153,9.056127121687453,1.4413273966851365,19579.26619252715
Swift/BAT,sw00352305000bevshsp_uf.evt.gz,,2009-05-17T08:29:51.168,151.182982890813,3.73372213350476,-49725.38712630615,21.922793689773265,2268.204857007001,negative,significant_negative,,unknown,49725.38712630615,49725.38712630614,14.432228328428097,2.2969604783002135,49725.38712630615
Swift/BAT,sw00352445000bevshsp_uf.evt.gz,,2009-05-18T08:57:10.463999,340.236272541621,-80.5434730875853,-98245.70017725088,28.93310286975109,3395.6157630077264,negative,significant_negative,,unknown,98245.70017725088,98245.70017725088,20.286217650534294,3.228651815720588,98245.70017725088
Swift/BAT,sw00353479000bevshsp_uf.evt.gz,,2009-05-28T14:58:01.28,350.514477977192,-69.9464574146986,36033.09787858741,21.45036218854261,1679.8363385133866,positive,significant_positive,,unknown,36033.09787858741,36033.09787858741,12.285564188995808,1.9553082693514552,36033.09787858741
Swift/BAT,sw00354113000bevshsp_uf.evt.gz,,2009-06-05T14:00:22.592,213.442907613068,38.1895015608146,-1018.3480835246854,43.28521435581174,23.52646506850337,negative,significant_negative,,unknown,1018.3480835246854,1018.3480835246853,2.0653441546946105,0.32870973140559945,1018.3480835246854
Swift/BAT,sw00354341000bevshsp_uf.evt.gz,,2009-06-07T18:47:52.639999,242.623205482903,48.4043331307916,49086.92185640676,22.577437823040967,2174.158212333202,positive,significant_positive,,unknown,49086.92185640676,49086.92185640676,14.339275346238095,2.2821665517095417,49086.92185640676
Swift/BAT,sw00354387000bevshsp_uf.evt.gz,,2009-06-08T12:29:01.759999,197.302415310893,55.8641674081595,-43529.73937493851,23.892603359592552,1821.8918516245285,negative,significant_negative,,unknown,43529.73937493851,43529.73937493851,13.503219834937402,2.1491041843868146,43529.73937493851
Swift/BAT,sw00354465000bevshsp_uf.evt.gz,,2009-06-09T07:52:42.879999,189.225804267056,26.3029266284644,84928.5728136925,20.017267325938068,4242.765579877298,positive,significant_positive,,unknown,84928.5728136925,84928.5728136925,18.861282403603497,3.0018663275856814,84928.5728136925
Swift/BAT,sw00354627000bevshsp_uf.evt.gz,,2009-06-11T17:44:31.36,277.487286138202,-0.148921090952789,-4545.576039942739,20.70727178845485,219.51593075033108,negative,significant_negative,,unknown,4545.576039942739,4545.576039942738,4.363538058871935,0.6944786514390823,4545.576039942739
Swift/BAT,sw00355042000bevshsp_uf.evt.gz,,2009-06-17T10:22:44.287999,234.740579502471,19.2883686670276,6010.956283199992,98.56141453017092,60.98691168195401,positive,significant_positive,,unknown,6010.956283199992,6010.956283199991,5.017831683154322,0.7986127159771355,6010.956283199992
Swift/BAT,sw00355128000bevshsp_uf.evt.gz,,2009-06-18T16:16:56.127999,81.0368078772837,-22.5481759863078,149792.5329065221,265.5540626638663,564.0754707493475,positive,significant_positive,,unknown,149792.5329065221,149792.53290652213,25.04894198542092,3.9866629362018546,149792.5329065221
Swift/BAT,sw00355536000bevshsp_uf.evt.gz,,2009-06-23T01:45:23.199999,207.686764493045,68.6678394959091,14391.396980009344,34.29400114422845,419.64764972988166,positive,significant_positive,,unknown,14391.396980009344,14391.39698000934,7.764183324925782,1.2357081552336056,14391.396980009344
Swift/BAT,sw00355911000bevshsp_uf.evt.gz,,2009-06-28T08:06:08,281.258249917138,-4.57509375432809,106877.92324388726,20.782527292649423,5142.681721952504,positive,significant_positive,,unknown,106877.92324388726,106877.92324388724,21.15866720736225,3.3675064752880908,106877.92324388726
Swift/BAT,sw00355915000bevshsp_uf.evt.gz,,2009-06-28T09:42:14.08,170.653839855756,61.8169103763556,-1017.5388584376147,22.37533219967734,45.47592184809162,negative,significant_negative,,unknown,1017.5388584376147,1017.5388584376151,2.064523384031532,0.32857910169742566,1017.5388584376147
Swift/BAT,sw00355920000bevshsp_uf.evt.gz,,2009-06-28T13:08:03.84,42.4395703454709,45.6566485252995,-32643.122833879566,21.076331543107337,1548.804770275829,negative,significant_negative,,unknown,32643.122833879566,32643.122833879566,11.693382452489686,1.8610596187777637,32643.122833879566
Swift/BAT,sw00355981000bevshsp_uf.evt.gz,,2009-06-29T16:28:35.583999,242.698293872996,3.63263573013226,-714.5389915739579,64.07868652601888,11.150961892513548,negative,significant_negative,,unknown,714.5389915739579,714.5389915739579,1.73004448753289,0.27534513195974436,714.5389915739579
Swift/BAT,sw00357694000bevshsp_uf.evt.gz,,2009-07-18T08:31:01.439999,300.11121293607,46.5192950448795,-59010.642762590585,70.87887046409898,832.5561958902858,negative,significant_negative,,unknown,59010.642762590585,59010.64276259058,15.722061009361601,2.5022437252322525,59010.642762590585
Swift/BAT,sw00358708000bevshsp_uf.evt.gz,,2009-07-30T16:11:59.04,202.839647263766,68.5765747524408,7740.980939596075,22.352113728619035,346.3198618967626,positive,significant_positive,,unknown,7740.980939596075,7740.980939596074,5.694325696271525,0.9062800821368119,7740.980939596075
Swift/BAT,sw00358760000bevshsp_uf.evt.gz,,2009-07-31T12:46:35.839999,189.691562675699,-15.4089072936449,-35596.27113923942,25.35474076034404,1403.9296033708065,negative,significant_negative,,unknown,35596.27113923942,35596.27113923941,12.210868596253363,1.9434200965393158,35596.27113923942
Swift/BAT,sw00358924000bevshsp_uf.evt.gz,,2009-08-01T07:24:35.263999,91.000122897848,31.7684120361598,-21958.03584662487,19.23358661764908,1141.6506075094587,negative,significant_negative,,unknown,21958.03584662487,21958.03584662487,9.590495580036034,1.5263747782637087,21958.03584662487
